ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-07-05T00:00:00.000Z,3TYLC5LN0RT000958,2024,Tacoma TRD Off-Road,Available,False,At dealer,50030,UNDERGROUND,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),434,Sterling McCall Toyota Fort Bend,https://www.sterlingmccalltoyotafortbend.com,False,50 State Emissions | ARB Rear Tow Hooks** | Exhaust Tip - Black Chrome** | Mudguards | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | Vehicle Fueling
2024-07-29T00:00:00.000Z,3TYLC5LN0RT003598,2024,Tacoma TRD Off-Road,Available,False,At dealer,56256,CELESTIAL SILVER METALLIC,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),412,Joe Myers Toyota,https://www.joemyerstoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-08-08T00:00:00.000Z,3TYLC5LN0RT004637,2024,Tacoma TRD Off-Road,Available,False,At dealer,56462,SUPERSONIC RED*,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),17,Post Oak Toyota,https://www.postoaktoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Post Oak Advantage | Predator Drop Step** | Premium Paint Charge | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-08-01T00:00:00.000Z,3TYLC5LN0RT004668,2024,Tacoma TRD Off-Road,Available,False,At dealer,51796,BLACK,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),17,Post Oak Toyota,https://www.postoaktoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Post Oak Advantage | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | Vehicle Fueling | Vehicle Protection Package
2024-08-22T00:00:00.000Z,3TYLC5LN0RT005500,2024,Tacoma TRD Off-Road,Available,False,At dealer,51112,CELESTIAL SILVER METALLIC,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),193,Toyota of Dallas,https://www.toyotaofdallas.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Blackout Package | Connectivity Kit | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | Vehicle Fueling | Vehicle Protection Premium Package
2024-09-01T00:00:00.000Z,3TYLC5LN0RT005691,2024,Tacoma TRD Off-Road,Available,False,At dealer,57030,UNDERGROUND,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),208,Vandergriff Toyota,https://www.vandergrifftoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Rock Rails** | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-09-06T00:00:00.000Z,3TYLC5LN0RT006226,2024,Tacoma TRD Off-Road,Available,False,At dealer,56137,BLUE CRUSH METALLIC,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),132,Four Stars Toyota,https://www.fourstarstoyota.com,True,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-09-04T00:00:00.000Z,3TYLC5LN0RT006341,2024,Tacoma TRD Off-Road,DealerHold,False,At dealer,61151,CELESTIAL SILVER METALLIC,SOFTEX EMBOSSED BLACK,420,Don McGill Toyota,https://www.donmcgilltoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Don McGill Protection Package | Mudguards | Owner's Portfolio | Rock Rails** | Spray-On Bed Liner** | TRD Off-Road Premium Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-09-13T00:00:00.000Z,3TYLC5LN0RT006498,2024,Tacoma Limited,DealerHold,False,At dealer,60457,SUPERSONIC RED*,EB BLACK,420,Don McGill Toyota,https://www.donmcgilltoyota.com,False,50 State Emissions | Adaptive Variable Suspension (AVS) | Ball Mount | Bed Extender | Bed Step (non-powered)** | Connectivity Kit | Dash Cam | Don McGill Protection Package | Mudguards | Owner's Portfolio | Premium Paint Charge | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package
2024-09-19T00:00:00.000Z,3TYLC5LN0RT006694,2024,Tacoma TRD Off-Road,Available,False,At dealer,52451,SUPERSONIC RED*,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),446,North Park Toyota of San Antonio,https://www.northparktoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Premium Paint Charge | Spray-On Bed Liner** | TRD Off Road Package: | Vehicle Fueling | Vehicle Protection Package
